To/From,Province_01,Province_02,Province_03,Province_04,Province_05,Province_06,Province_07,Province_08,Province_09,Province_10,Province_11,Province_12,Province_13,Province_14,Province_15,Province_16,Province_17,Province_18,Province_19,Province_20,Province_21,Province_22,Province_23,Province_24,Province_25,Province_26,Province_27,Province_28,Province_29,Province_30,Province_31,Province_32,Province_33,Province_34,Province_35,Province_36,Province_37,Province_38,Province_39,Province_40,Province_41,Province_42,Province_43,Province_44,Province_45,Province_46,Province_47,Province_48,Province_49,Province_50,Province_51,Province_52,Province_53,Province_54,Province_55,Province_56,Province_57,Province_58,Province_59,Province_60,Province_61,Province_62,Province_63,Province_64,Province_65,Province_66,Province_67,Province_68,Province_69,Province_70,Province_71,Province_72,Province_73,Province_74,Province_75,Province_76,Province_77
F_BMtE 001,494.13 ,781.36 ,396.69 ,851.73 ,711.22 ,539.90 ,318.15 ,515.65 ,727.25 ,354.27 ,496.14 ,567.29 ,946.55 ,626.28 ,143.80 ,504.45 ,547.81 ,1263.76 ,267.22 ,328.26 ,453.66 ,386.11 ,395.25 ,638.59 ,750.68 ,493.03 ,531.60 ,873.85 ,579.74 ,258.50 ,1273.34 ,427.35 ,1622.14 ,557.32 ,717.44 ,481.46 ,465.93 ,1537.12 ,1244.31 ,1332.81 ,456.40 ,402.99 ,648.90 ,261.48 ,293.95 ,422.89 ,311.00 ,1353.16 ,552.64 ,771.71 ,1064.21 ,578.70 ,651.26 ,657.82 ,602.75 ,754.66 ,513.87 ,526.72 ,561.75 ,431.88 ,1464.57 ,358.00 ,871.31 ,1447.51 ,167.82 ,414.16 ,1133.32 ,754.86 ,86.71 ,1320.33 ,796.87 ,829.98 ,663.73 ,303.56 ,247.97 ,1552.52 ,725.65 
F_BMtE 002,316.07 ,574.11 ,218.62 ,644.49 ,445.43 ,361.84 ,140.09 ,243.04 ,549.19 ,462.38 ,499.62 ,389.23 ,768.49 ,419.03 ,123.92 ,326.39 ,340.57 ,1085.69 ,375.33 ,436.38 ,297.35 ,195.76 ,659.10 ,431.34 ,543.43 ,299.45 ,353.53 ,666.60 ,314.09 ,83.15 ,1095.27 ,376.94 ,1444.08 ,350.07 ,510.20 ,303.40 ,287.87 ,1359.06 ,1066.25 ,1154.75 ,431.63 ,100.33 ,470.84 ,17.07 ,132.21 ,244.83 ,260.59 ,1175.09 ,359.06 ,593.64 ,886.15 ,400.64 ,473.20 ,450.57 ,409.17 ,547.41 ,335.81 ,348.65 ,383.68 ,241.53 ,1286.51 ,179.94 ,596.43 ,1269.45 ,149.50 ,236.10 ,955.25 ,489.07 ,194.82 ,1142.27 ,618.81 ,622.73 ,456.49 ,125.50 ,192.25 ,1374.45 ,518.40 
F_BMtE 003,233.29 ,507.68 ,159.89 ,665.36 ,305.06 ,272.87 ,135.91 ,179.65 ,460.22 ,617.49 ,621.29 ,300.26 ,693.37 ,439.91 ,285.52 ,322.14 ,361.44 ,1010.57 ,450.22 ,591.48 ,318.23 ,123.82 ,814.21 ,326.40 ,564.31 ,183.41 ,275.45 ,687.47 ,173.72 ,165.66 ,1020.15 ,498.61 ,1368.96 ,370.95 ,531.07 ,225.32 ,205.05 ,1283.94 ,991.13 ,1079.63 ,553.30 ,113.86 ,395.72 ,162.25 ,256.33 ,187.55 ,382.26 ,1099.97 ,243.03 ,518.52 ,811.03 ,322.56 ,384.23 ,384.14 ,293.14 ,568.29 ,251.22 ,273.53 ,308.56 ,125.49 ,1211.39 ,156.62 ,465.15 ,1194.33 ,281.98 ,231.27 ,880.13 ,348.70 ,349.92 ,1067.15 ,529.84 ,549.03 ,477.36 ,163.32 ,313.92 ,1299.33 ,451.96 
F_BMtE 004,296.85 ,552.72 ,199.41 ,623.09 ,382.76 ,350.57 ,145.93 ,180.37 ,537.92 ,448.44 ,525.98 ,377.96 ,749.27 ,397.64 ,173.83 ,332.22 ,319.17 ,1066.47 ,354.91 ,422.43 ,275.96 ,177.53 ,709.01 ,326.86 ,522.04 ,261.12 ,334.32 ,645.21 ,251.43 ,111.34 ,1076.05 ,403.31 ,1424.86 ,328.68 ,488.80 ,284.18 ,268.65 ,1339.84 ,1047.03 ,1135.53 ,457.99 ,78.93 ,451.62 ,66.97 ,158.58 ,225.61 ,286.95 ,1155.88 ,320.73 ,574.43 ,866.93 ,381.42 ,461.93 ,429.18 ,370.84 ,526.02 ,328.92 ,329.43 ,364.47 ,203.19 ,1267.29 ,160.72 ,466.03 ,1250.23 ,186.67 ,241.93 ,936.04 ,426.40 ,244.73 ,1123.05 ,607.54 ,601.33 ,435.09 ,153.69 ,218.61 ,1355.24 ,497.01 
F_BMtE 005,660.79 ,850.14 ,563.34 ,920.51 ,877.87 ,706.56 ,484.81 ,640.07 ,893.90 ,35.69 ,216.04 ,733.94 ,1113.21 ,695.06 ,310.45 ,671.10 ,616.59 ,1430.41 ,74.42 ,7.93 ,457.04 ,552.76 ,268.83 ,707.36 ,819.46 ,659.69 ,698.25 ,942.62 ,746.39 ,425.15 ,1439.99 ,309.43 ,1788.80 ,626.09 ,786.22 ,648.11 ,632.58 ,1703.77 ,1410.96 ,1499.46 ,263.60 ,471.77 ,815.55 ,428.14 ,362.72 ,589.55 ,183.95 ,1519.81 ,719.30 ,938.36 ,1230.87 ,745.36 ,817.91 ,726.60 ,769.41 ,823.43 ,680.52 ,693.37 ,728.40 ,598.53 ,1631.22 ,524.66 ,872.45 ,1614.16 ,320.71 ,580.81 ,1299.97 ,921.51 ,239.72 ,1486.99 ,963.52 ,898.75 ,732.51 ,470.21 ,213.14 ,1719.17 ,794.42 
F_BMtE 006,487.51 ,652.15 ,390.06 ,554.48 ,611.51 ,533.28 ,311.53 ,442.09 ,720.62 ,235.42 ,312.97 ,560.66 ,939.93 ,497.07 ,182.32 ,497.82 ,418.61 ,1257.13 ,141.90 ,209.41 ,249.79 ,379.48 ,468.56 ,509.38 ,621.47 ,486.41 ,524.97 ,744.64 ,573.11 ,251.87 ,1266.71 ,190.29 ,1615.52 ,428.11 ,419.37 ,474.83 ,459.30 ,1530.49 ,1237.68 ,1326.18 ,244.98 ,273.78 ,642.27 ,194.70 ,109.17 ,416.26 ,73.94 ,1346.53 ,546.02 ,765.08 ,1057.59 ,572.08 ,644.63 ,528.61 ,596.13 ,625.45 ,507.24 ,520.09 ,555.12 ,425.25 ,1457.94 ,351.38 ,674.47 ,1440.88 ,105.13 ,407.53 ,1126.69 ,673.67 ,178.19 ,1313.71 ,790.24 ,700.77 ,534.52 ,296.93 ,16.47 ,1545.89 ,596.44 
F_BMtE 007,199.67 ,727.97 ,125.04 ,848.28 ,483.36 ,281.54 ,94.23 ,379.06 ,449.39 ,561.08 ,702.95 ,284.82 ,593.91 ,610.97 ,229.12 ,146.88 ,542.39 ,911.11 ,474.03 ,535.07 ,488.59 ,149.89 ,757.80 ,546.68 ,735.37 ,231.46 ,164.26 ,858.54 ,351.88 ,128.52 ,920.69 ,555.28 ,1269.49 ,554.64 ,713.99 ,191.04 ,179.75 ,1184.47 ,891.66 ,980.16 ,663.21 ,309.86 ,296.25 ,212.76 ,328.87 ,154.43 ,438.92 ,1000.51 ,291.07 ,419.06 ,711.57 ,206.46 ,373.40 ,604.43 ,341.18 ,739.35 ,227.58 ,222.80 ,225.80 ,203.69 ,1111.92 ,117.08 ,643.45 ,1094.86 ,312.86 ,95.35 ,780.67 ,527.00 ,293.51 ,967.69 ,519.01 ,727.33 ,660.28 ,81.70 ,370.58 ,1199.87 ,672.25 
F_BMtE 008,199.29 ,727.58 ,124.66 ,847.89 ,482.98 ,281.16 ,94.61 ,379.44 ,449.00 ,561.46 ,703.33 ,284.44 ,593.52 ,610.58 ,229.50 ,146.49 ,542.00 ,910.72 ,474.41 ,535.46 ,488.97 ,149.51 ,758.18 ,546.30 ,734.99 ,231.08 ,163.88 ,858.15 ,351.50 ,128.90 ,920.30 ,555.66 ,1269.11 ,555.02 ,713.60 ,190.66 ,179.37 ,1184.09 ,891.28 ,979.78 ,663.59 ,310.24 ,295.87 ,213.15 ,329.26 ,154.04 ,439.31 ,1000.12 ,290.69 ,418.67 ,711.18 ,206.07 ,373.01 ,604.04 ,340.80 ,738.96 ,227.19 ,222.42 ,225.41 ,203.30 ,1111.54 ,116.70 ,643.06 ,1094.48 ,313.25 ,94.96 ,780.29 ,526.62 ,293.90 ,967.30 ,518.62 ,726.95 ,659.89 ,82.09 ,370.97 ,1199.48 ,671.87 
F_BMtE 009,341.16 ,666.90 ,243.72 ,737.27 ,558.25 ,386.93 ,165.19 ,362.68 ,574.28 ,357.91 ,499.78 ,414.32 ,793.59 ,511.82 ,19.77 ,351.48 ,433.35 ,1110.79 ,270.86 ,331.90 ,339.20 ,233.14 ,554.63 ,524.12 ,636.22 ,340.06 ,378.63 ,759.38 ,426.77 ,105.53 ,1120.37 ,383.02 ,1469.17 ,442.86 ,602.98 ,328.49 ,312.96 ,1384.15 ,1091.34 ,1179.84 ,460.04 ,221.69 ,495.93 ,115.91 ,179.48 ,269.92 ,266.67 ,1200.19 ,399.67 ,618.74 ,911.24 ,425.73 ,498.29 ,543.36 ,449.78 ,640.19 ,360.90 ,373.75 ,408.78 ,278.91 ,1311.60 ,205.04 ,718.34 ,1294.54 ,98.86 ,261.19 ,980.35 ,601.89 ,90.34 ,1167.37 ,643.90 ,715.51 ,549.27 ,150.59 ,185.13 ,1399.55 ,611.18 
F_BMtE 010,492.92 ,670.32 ,395.47 ,740.69 ,629.67 ,538.69 ,316.94 ,460.26 ,726.04 ,244.89 ,350.05 ,566.08 ,945.34 ,515.24 ,157.18 ,503.24 ,436.77 ,1262.54 ,151.37 ,218.88 ,277.25 ,384.89 ,478.03 ,527.55 ,639.64 ,491.82 ,530.39 ,762.81 ,578.53 ,257.28 ,1272.12 ,227.38 ,1620.93 ,446.28 ,606.40 ,480.25 ,464.72 ,1535.91 ,1243.10 ,1331.60 ,282.06 ,291.95 ,647.69 ,215.02 ,182.91 ,421.68 ,111.02 ,1351.94 ,551.43 ,770.49 ,1063.00 ,577.49 ,650.05 ,546.78 ,601.54 ,643.62 ,512.66 ,525.50 ,560.53 ,430.66 ,1463.36 ,356.79 ,692.64 ,1446.30 ,79.99 ,412.95 ,1132.11 ,753.65 ,134.70 ,1319.12 ,795.66 ,718.94 ,552.69 ,302.35 ,28.82 ,1551.30 ,614.61 
