From/To,Province_1,Province_2,Province_3,Province_4,Province_5,Province_6,Province_7,Province_8,Province_9,Province_10,Province_11,Province_12,Province_13,Province_14,Province_15,Province_16,Province_17,Province_18,Province_19,Province_20,Province_21,Province_22,Province_23,Province_24,Province_25,Province_26,Province_27,Province_28,Province_29,Province_30,Province_31,Province_32,Province_33,Province_34,Province_35,Province_36,Province_37,Province_38,Province_39,Province_40,Province_41,Province_42,Province_43,Province_44,Province_45,Province_46,Province_47,Province_48,Province_49,Province_50,Province_51,Province_52,Province_53,Province_54,Province_55,Province_56,Province_57,Province_58,Province_59,Province_60,Province_61,Province_62,Province_63,Province_64,Province_65,Province_66,Province_67,Province_68,Province_69,Province_70,Province_71,Province_72,Province_73,Province_74,Province_75,Province_76,Province_77
Province_1,0,632.2786,105.0153,752.5878,387.6798,83.9842,195.1855,333.4766,251.825,686.1613,828.0375,83.6856,458.4524,515.279,354.2012,122.681,446.6967,775.6161,599.1143,660.1522,541.4855,153.7559,882.8829,450.9931,639.678,106.2965,52.3925,762.8448,256.1913,236.9937,785.1962,663.5516,1134.0034,560.5805,618.2982,18.0031,40.7518,1048.981,756.1697,844.671,788.2939,337.1243,160.7833,321.2416,437.3516,79.7806,547.4026,865.0306,189.2895,283.5889,576.0881,99.4367,175.8394,508.7395,205.8941,643.6572,26.4067,38.5989,73.6291,107.9893,976.4303,142.3549,547.7608,959.3711,421.3398,103.2842,645.1788,431.3126,418.5967,832.195,321.449,631.6415,564.5878,221.0897,479.0633,1064.3815,576.5641
Province_2,632.9153,0,599.4174,387.686,226.2061,672.4935,653.9495,328.0836,577.6294,875.3182,952.8762,699.7083,1093.0093,171.6471,666.5757,721.7652,242.5291,1410.173,781.7976,849.3091,441.9532,568.5897,1174.4499,194.6908,108.8605,583.0471,675.0766,195.4269,378.1308,586.5572,1419.7531,829.9892,1768.5603,353.0829,420.1956,624.9374,604.6744,1683.538,1390.7266,1479.2279,884.8845,488.0767,795.3402,586.3851,526.804,587.1693,713.8402,1499.5876,514.0411,918.1458,1210.645,722.1209,783.8497,123.4029,461.1897,205.9468,650.8464,673.1558,708.186,527.1285,1610.9872,601.388,138.8735,1593.9281,613.5572,630.8949,1279.7357,194.0502,696.6519,1466.7519,638.764,78.4944,368.2092,681.0964,645.5009,1698.9385,56.094
Province_3,104.9667,581.4593,0,701.7685,336.8605,150.7377,94.2984,266.4388,338.0794,586.5168,728.393,177.9525,557.4032,464.4597,254.5567,141.3486,395.8774,874.5669,499.4698,560.5077,468.6181,44.8224,783.2384,400.1738,588.8587,103.8785,142.4316,712.0256,205.372,137.3492,884.147,563.9071,1232.9541,521.3333,567.4789,92.2924,76.7654,1147.9318,855.1205,943.6218,688.6493,264.257,259.7341,221.5971,337.7071,33.725,447.7581,963.9814,163.4824,382.5397,675.0388,189.4759,262.0939,457.9202,213.5928,592.8379,124.7036,137.5497,172.5799,57.5095,1075.381,42.7104,496.9416,1058.3219,321.6953,50.4782,744.1295,380.4933,318.9522,931.1458,407.7035,580.8223,513.7685,121.4452,379.4188,1163.3323,525.7449
Province_4,753.9504,376.3321,720.4525,0,505.7189,793.5286,694.819,430.14,980.8703,880.3002,789.9553,820.7434,1214.0444,293.3391,671.5577,842.8003,309.1314,1531.2082,786.7797,854.2911,334.8556,689.6248,1179.4319,403.5899,285.5124,704.0822,796.1117,180.9569,499.1659,659.4538,1540.7882,553.7947,1889.5954,237.2,135.5489,745.9725,725.7095,1804.5731,1511.7617,1600.263,686.4425,493.0587,916.3753,591.3671,531.786,708.2044,718.8222,1620.6227,708.3223,1039.1809,1331.6801,843.156,904.8848,342.4857,758.4327,184.4062,771.8815,794.1909,829.2211,648.1636,1732.0223,722.4231,514.9198,1714.9632,618.5392,751.93,1400.7708,493.2664,701.6339,1587.787,1050.4944,454.5406,188.3783,701.7964,650.4829,1819.9736,360.5586
Province_5,388.4585,226.2903,354.9606,504.7245,0,347.9749,409.4927,185.7295,344.4191,901.7112,911.9842,387.1019,848.5525,211.6976,569.751,477.3084,198.8333,1165.7163,814.6642,875.7021,401.0613,324.1329,1098.4327,147.3646,287.3021,338.5903,430.6198,388.745,127.3278,452.5436,1175.2963,789.0973,1524.1035,312.7172,370.4349,380.4806,360.2176,1439.0812,1146.2698,1234.7711,843.9925,410.5531,550.8834,458.9428,485.912,342.7125,672.9482,1255.1308,280.8308,673.689,966.1882,477.6641,448.134,149.5005,227.9794,340.0758,406.3896,428.699,463.7292,282.6717,1366.5304,356.9312,157.2162,1349.4713,572.6653,386.4381,1035.2789,52.1575,634.1466,1222.2951,405.5537,224.04,316.7244,436.6396,604.609,1454.4817,170.5759
Province_6,84.7413,614.836,149.9885,735.1452,347.6548,0,238.9161,357.1894,190.4583,731.1345,873.0106,45.6345,536.2751,497.8364,399.1743,207.1722,429.2541,853.4388,644.0875,705.1254,580.0043,192.2747,927.8561,433.5505,622.2354,76.87,136.8837,745.4023,237.8908,281.9669,863.0189,708.5248,1211.8261,543.1379,600.8556,69.8348,87.1503,1126.8037,833.9924,922.4937,833.267,375.6432,238.606,366.2148,482.3248,120.3948,592.3757,942.8533,111.1472,361.4116,653.9107,183.928,132.2479,491.2969,127.7519,626.2146,75.4556,116.4216,151.4518,146.5082,1054.2529,187.328,507.7359,1037.1938,466.3129,157.9688,723.0014,391.2876,463.5699,910.0177,260.0823,591.6166,547.1452,266.0629,524.0365,1142.2042,559.1216
Province_7,193.2876,654.9793,95.8409,775.2885,410.3805,239.0587,0,286.262,426.4004,510.351,652.2272,266.2734,638.6878,537.9797,178.3909,187.7195,469.3974,955.8515,423.3041,484.3419,421.2558,85.2598,707.0726,473.6938,662.3787,192.1995,223.7162,785.5456,278.892,61.1835,965.4316,487.7413,1314.2388,465.9908,640.9989,180.6134,165.0864,1229.2164,936.4051,1024.9064,612.4836,208.9145,341.0187,145.4313,261.5413,122.0459,371.5923,1045.266,251.8034,463.8243,756.3235,270.7605,350.4148,531.4402,301.9138,666.3579,213.0246,218.8343,253.8645,131.0295,1156.6657,57.1591,570.4616,1139.6065,245.5295,97.43,825.4142,454.0133,242.7864,1012.4304,496.0244,654.3423,587.2885,30.0604,303.253,1244.6169,599.2649
Province_8,334.7822,327.962,301.2842,431.0879,185.7822,374.3604,289.2866,0,561.7021,663.6348,741.1927,401.5751,794.8762,215.9614,378.3374,423.632,127.1692,1112.0399,570.1142,637.6257,230.2698,233.2673,907.0191,146.6765,340.3604,284.914,376.9434,463.5273,124.0947,258.4736,1121.62,618.3058,1470.4271,196.6903,296.7983,326.8043,306.5412,1385.4048,1092.5935,1181.0948,673.201,185.2789,497.2071,255.0684,315.1205,289.0362,502.1567,1201.4544,289.1541,620.0127,912.5118,423.9877,485.7165,204.4229,339.2644,344.3396,352.7132,375.0227,410.0529,228.9954,1312.854,266.0657,285.851,1295.7949,401.8738,332.7617,981.6025,231.6332,442.733,1168.6188,631.3261,376.5768,243.0879,300.8162,433.8175,1400.8053,272.2475
Province_9,250.0461,581.9398,335.6718,834.8058,344.2907,190.1247,424.5994,456.8499,0,916.8178,1058.694,165.3018,695.8554,597.497,584.8577,372.4769,528.9147,1013.0191,829.7708,890.8087,731.1426,377.9581,1113.5394,533.2111,721.8959,270.9266,302.1884,845.0628,337.5514,467.6502,1022.5992,894.2081,1371.4063,642.7985,700.5162,258.8396,280.5584,1286.384,993.5727,1082.074,1018.9503,561.3265,398.1862,551.8981,668.0081,306.0781,778.0591,1102.4336,210.8078,520.9918,813.491,349.2327,129.3648,590.9575,157.9564,725.8752,235.0359,276.0019,311.0321,332.1915,1213.8332,373.0114,504.3717,1196.7741,651.9963,351.5917,882.5817,387.9235,649.2532,1069.598,68.8524,588.2524,646.8058,451.7462,709.7198,1301.7845,526.2253
Province_10,686.4282,875.7685,588.9815,946.1429,903.5212,732.1993,510.4495,665.7067,919.541,0,186.8156,759.414,1138.8647,720.6898,336.0973,696.7457,642.2241,1456.0285,100.0566,30.8957,482.6784,578.4004,235.7615,732.9959,845.0887,685.3401,723.8931,968.2556,772.0326,450.8076,1465.6085,334.8598,1814.4157,651.7294,811.8533,673.754,658.227,1729.3934,1436.582,1525.0833,207.2333,497.4071,841.1956,453.781,388.3619,615.1865,209.587,1545.443,744.944,964.0012,1256.5004,770.9374,843.5554,752.2294,795.0544,849.068,706.1652,719.0112,754.0414,624.1701,1656.8426,550.2997,898.0843,1639.7835,346.3561,606.4562,1325.5911,947.154,265.365,1512.6073,989.165,924.3833,758.1429,495.8541,238.7798,1744.7939,820.054
Province_11,830.3197,951.512,732.8729,792.9466,910.8684,876.0907,654.341,741.4503,1063.4324,186.2247,0,903.3055,1282.7562,796.4333,479.9887,840.6372,717.9677,1599.9199,231.1571,211.358,522.888,722.2919,414.0065,808.7394,920.8322,829.2315,867.7846,1043.9991,915.9241,594.699,1609.5,242.6216,1958.3071,727.4729,657.8408,817.6454,802.1184,1873.2848,1580.4735,1668.9748,100.334,573.1507,985.087,494.0678,464.1055,759.078,239.9498,1689.3344,888.8354,1107.8926,1400.3918,914.8289,987.4469,827.9729,938.9458,924.8115,850.0566,862.9027,897.9329,768.0615,1800.734,694.1911,973.8279,1783.6749,409.2277,750.3476,1469.4825,1091.0454,409.2565,1656.4988,1133.0565,1000.1268,833.8864,639.7455,314.5233,1888.6853,895.7975
