Consumer list,1,2,3,4,5,6,7,8,9,10,11,12,,
Province_01,3100072.978,3027299.434,3310796.37,3066885.043,3222628.423,3103871.597,3206834.165,3203435.401,3195438.308,3069284.171,2979316.878,2902144.934,,181768991.6
Province_02,18900.59082,18456.90353,20185.33368,18698.24991,19647.78946,18923.75032,19551.4947,19530.77304,19482.01619,18712.87697,18164.36247,17693.85892,,
Province_03,47492.55601,46377.67852,50720.80018,46984.12287,49370.08322,47550.75017,49128.11805,49076.04959,48953.53558,47020.87707,45642.59446,44460.33426,,
Province_04,26248.67766,25632.49562,28032.89707,25967.67156,27286.36884,26280.84101,27152.63702,27123.85929,27056.14698,25987.98526,25226.22175,24572.79794,,
Province_05,98659.15545,96343.15309,105365.3821,97602.95657,102559.4561,98780.04568,102056.8073,101948.6423,101694.1366,97679.30829,94816.11856,92360.13804,,
Province_06,426352.9704,416344.4265,455333.754,421788.6344,443208.0181,426875.3944,441035.8342,440568.4022,439468.5622,422118.5864,409745.3866,399131.9307,,
Province_07,42921.69885,41914.12124,45839.24499,42462.19917,44618.52597,42974.29218,44399.84841,44352.79122,44242.0684,42495.41601,41249.78435,40181.3092,,
Province_08,72111.53987,70418.73705,77013.22716,71339.54738,74962.33143,72199.90046,74594.93741,74515.87794,74329.85565,71395.35406,69302.60333,67507.48825,,
Province_09,106778.695,104272.0882,114036.8366,105635.5721,110999.9861,106909.5343,110455.9698,110338.903,110063.4517,105718.2075,102619.3804,99961.27539,,
Province_10,279458.7357,272898.5022,298454.5765,276466.9809,290506.6014,279801.1655,289082.8144,288776.4299,288055.5251,276683.2523,268573.0736,261616.3425,,
Province_11,112053.5027,109423.0709,119670.1925,110853.9102,116483.3232,112190.8055,115912.4328,115789.583,115500.5246,110940.6277,107688.7203,104899.3064,,
Province_12,1057208.405,1032390.666,1129070.759,1045890.425,1099003.113,1058503.836,1093616.846,1092457.776,1089730.552,1046708.592,1016027.322,989709.6094,,
Province_13,72844.41992,71134.4129,77795.92377,72064.58156,75724.18449,72933.67853,75353.0566,75273.19363,75085.28077,72120.95542,70006.93575,68193.57666,,
Province_14,63673.77611,62179.04798,68001.91748,62992.11438,66190.99685,63751.79764,65866.59157,65796.78284,65632.527,63041.39113,61193.51294,59608.44409,,
Province_15,87328.44411,85278.42775,93264.48049,86393.54654,90780.80683,87435.45046,90335.88569,90240.14317,90014.86665,86461.1295,83926.76862,81752.85017,,
Province_16,150462.2033,146930.1356,160689.6742,148851.4252,156410.4383,150646.5695,155643.8631,155478.9039,155090.7646,148967.867,144601.2998,140855.7554,,
Province_17,203046.3471,198279.878,216848.1561,200872.6277,211073.3954,203295.1463,210038.9144,209816.3046,209292.5168,201029.764,195137.1511,190082.5986,,
Province_18,79160.6888,77302.40873,84541.53273,78313.2314,82290.15495,79257.68693,81886.84692,81800.05911,81595.85251,78374.49338,76077.16912,74106.57543,,
Province_19,86894.50198,84854.67232,92801.04171,85964.24999,90329.70962,87000.9766,89886.99934,89791.73257,89567.57546,86031.49712,83509.72968,81346.61361,,
Province_20,112574.2333,109931.5775,120226.319,111369.0661,117024.6399,112712.1741,116451.0965,116327.6757,116037.274,111456.1866,108189.1671,105386.7903,,
Province_21,42121.31668,41132.52787,44984.45791,41670.38552,43786.50223,42172.92929,43571.90246,43525.72277,43417.06466,41702.98296,40480.57921,39432.02844,,
Province_22,200172.6858,195473.6753,213779.1614,198029.7305,208086.1294,200417.9639,207066.2892,206846.8299,206330.4552,198184.6429,192375.4266,187392.4099,,
Province_23,11417.49976,11149.47642,12193.58932,11295.26934,11868.86874,11431.48999,11810.69884,11798.18126,11768.72815,11304.10527,10972.75773,10688.53518,,
Province_24,75592.72012,73818.19735,80731.03606,74783.45973,78581.13347,75685.34631,78196.00353,78113.12747,77918.12496,74841.96049,72648.18233,70766.40818,,
Province_25,25882.23763,25274.6577,27641.54877,25605.15447,26905.44231,25913.95197,26773.57743,26745.20144,26678.43442,25625.18458,24874.05554,24229.75374,,
