Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_01,1. Rice straw,2398.06,10225.32,12551.35,3433.92,1068.69,971.18,3512.81,4833.36,12026.56,3829.35,1317.12,2069.76
Province_01,2. Rice Husk,1027.74,4382.28,5379.15,1471.68,458.01,416.22,1505.49,2071.44,5154.24,1641.15,564.48,887.04
Province_01,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_01,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_02,1. Rice straw,0,0,9.31,350.84,36.75,21.56,0,0,0,2851.31,179283.16,6945.75
Province_02,2. Rice Husk,0,0,3.99,150.36,15.75,9.24,0,0,0,1221.99,76835.64,2976.75
Province_02,3. Sugarcane leaves,41303.31333,41303.31333,0,0,0,0,0,0,0,0,0,41303.31333
Province_02,4. Bagasse,68028.98667,68028.98667,0,0,0,0,0,0,0,0,0,68028.98667
Province_02,5. Molasse,12148.03333,12148.03333,0,0,0,0,0,0,0,0,0,12148.03333
Province_02,6. Corn leaves & trunk,182.16,211.6,588.8,684.48,138,47.84,108.56,88.32,60.72,46,36.8,20.24
Province_02,7. Corncobob,23.76,27.6,76.8,89.28,18,6.24,14.16,11.52,7.92,6,4.8,2.64
Province_02,8. Peeled cassava,54359.28,73057.68,70257.6,2939.04,4721.04,370.08,324,1157.04,2615.04,9534.24,2291.04,9789.12
Province_02,9. Cassava rhizome,15099.8,20293.8,19516,816.4,1311.4,102.8,90,321.4,726.4,2648.4,636.4,2719.2
Province_02,10. Cassava fiber,4529.94,6088.14,5854.8,244.92,393.42,30.84,27,96.42,217.92,794.52,190.92,815.76
Province_02,11. Cassava peels,21139.72,28411.32,27322.4,1142.96,1835.96,143.92,126,449.96,1016.96,3707.76,890.96,3806.88
Province_02,12 Oil palm bunch,158.72,120.96,108.16,130.88,177.92,155.84,173.76,150.72,172.48,135.36,165.12,160.32
Province_02,13. Oil palm fiber,94.24,71.82,64.22,77.71,105.64,92.53,103.17,89.49,102.41,80.37,98.04,95.19
Province_02,14. Oil palm shell,19.84,15.12,13.52,16.36,22.24,19.48,21.72,18.84,21.56,16.92,20.64,20.04
Province_02,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_02,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_02,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,1. Rice straw,15177.26,13180.51,32617.83,22842.82,7259.84,2614.64,5317.48,15093.47,38868.76,21311.08,6876.17,11040.19
Province_03,2. Rice Husk,6504.54,5648.79,13979.07,9789.78,3111.36,1120.56,2278.92,6468.63,16658.04,9133.32,2946.93,4731.51
Province_03,3. Sugarcane leaves,9482.203333,9482.203333,0,0,0,0,0,0,0,0,0,9482.203333
Province_03,4. Bagasse,15617.74667,15617.74667,0,0,0,0,0,0,0,0,0,15617.74667
Province_03,5. Molasse,2788.883333,2788.883333,0,0,0,0,0,0,0,0,0,2788.883333
Province_03,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_03,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,1. Rice straw,0,0,155.33,1874.74,588,0,0,0,0,699.23,67887.54,676.2
Province_04,2. Rice Husk,0,0,66.57,803.46,252,0,0,0,0,299.67,29094.66,289.8
Province_04,3. Sugarcane leaves,1905.7,1905.7,0,0,0,0,0,0,0,0,0,1905.7
Province_04,4. Bagasse,3138.8,3138.8,0,0,0,0,0,0,0,0,0,3138.8
Province_04,5. Molasse,560.5,560.5,0,0,0,0,0,0,0,0,0,560.5
Province_04,6. Corn leaves & trunk,1383.68,1414.96,1367.12,1420.48,758.08,244.72,609.04,456.32,344.08,204.24,132.48,121.44
Province_04,7. Corncobob,180.48,184.56,178.32,185.28,98.88,31.92,79.44,59.52,44.88,26.64,17.28,15.84
Province_04,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
