Plant code,Latitude,Longitude
F_BMtE 001,16.71328474,98.5731621
F_BMtE 002,16.19720151,100.4101611
F_BMtE 003,15.48453531,101.0948885
F_BMtE 004,16.01199099,100.7733453
F_BMtE 005,18.54447652,99.01690943
F_BMtE 006,17.6606457,100.2045307
F_BMtE 007,15.01248444,99.62227023
F_BMtE 008,15.00964506,99.62435252
F_BMtE 009,16.36834188,99.61248278
F_BMtE 010,17.56159671,99.85756036
F_BMtE 011,16.68292819,99.67493445
F_BMtE 012,13.87265284,99.80970906
F_BMtE 013,14.00270028,99.7645465
F_BMtE 014,13.93683706,99.75601234
F_BMtE 015,13.93717027,99.75219562
F_BMtE 016,15.21608564,100.0538886
F_BMtE 017,12.39789227,99.89753068
F_BMtE 018,11.01045404,99.39653466
F_BMtE 019,11.60860488,99.67243729
F_BMtE 020,16.18904138,103.1244259
F_BMtE 021,15.84222527,102.6138197
F_BMtE 022,15.85831558,102.6216315
F_BMtE 023,14.89017021,104.7103567
F_BMtE 024,16.27618891,104.011542
F_BMtE 025,14.49576592,102.1640189
F_BMtE 026,14.61475152,102.9044327
F_BMtE 027,17.62422702,102.5558481
F_BMtE 028,17.12692877,104.5757761
F_BMtE 029,16.05633024,103.6411679
F_BMtE 030,16.20841083,99.70592816
F_BMtE 031,20.10446047,100.5084041
F_BMtE 032,14.29624048,100.2236551
F_BMtE 034,13.27880325,101.2011695
F_BMtE 035,13.7807353,102.2118009
F_BMtE 036,14.08775519,99.8736217
F_BMtE 037,14.82604149,101.0819516
F_BMtE 038,14.69767521,98.6673043
F_BMtE 039,14.05074791,100.1684588
F_BMtE 040,13.93721192,99.75251245
F_BMtE 041,14.51161637,99.9134277
F_BMtE 042,14.09160544,99.72674702
F_BMtE 043,13.88677635,100.0525872
F_BMtE 044,16.43441812,99.54639557
F_BMtE 045,16.22386382,99.89611169
F_BMtE 046,7.385364372,99.75677205
F_BMtE 047,13.87453811,99.80616965
F_BMtE 048,14.01952746,100.222249
F_BMtE 049,16.46457209,104.0363097
F_BMtE 050,15.8642601,100.6155904
F_BMtE 051,15.00937562,99.6245071
F_BMtE 052,15.73244888,101.7522449
F_BMtE 053,14.44502857,99.5199041
F_BMtE 054,16.43440783,99.54630498
F_BMtE 055,15.01240154,99.62194179
F_BMtE 056,14.50675541,99.91723412
F_BMtE 057,8.392648563,99.22732316
F_BMtE 058,13.86162215,99.83950798
F_BMtE 059,13.83843413,99.86233786
F_BMtE 060,15.12544888,102.4481204
F_BMtE 061,15.08168539,102.2296978
F_BMtE 062,15.60516091,102.4045551
F_BMtE 063,15.22949197,103.0737023
F_BMtE 064,14.60889616,103.1079798
F_BMtE 065,15.21429461,103.1792623
F_BMtE 066,16.60029164,104.6950324
F_BMtE 067,16.60030706,104.6949387
F_BMtE 068,16.08357852,103.6444965
F_BMtE 069,15.61280745,103.8312561
F_BMtE 070,14.57930555,103.3446658
F_BMtE 071,17.28012822,102.25556
F_BMtE 072,17.27930865,102.2554058
F_BMtE 073,17.07292831,102.9262259
F_BMtE 074,17.37232679,103.2596853
