Power plant,Category,Technology,Feed-in material,Electricity coef (MWh/MJ),Electricity production cost (LCOE)(THB/MWh),Maximum electricity production capacity (MW),Bioethanol production cost (THB/L),Maximum bioethanol production capacity (L/day),maximum plant factor
F_BMtE 001,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,16,0,0,0.85
F_BMtE 002,Biomass to Electricity,Cogeneration,rice husk,1.11E-04,6726.24 ,1,0,0,0.85
F_BMtE 003,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,27,0,0,0.85
F_BMtE 004,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,0.6,0,0,0.85
F_BMtE 005,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.6,0,0,0.85
F_BMtE 006,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,23,0,0,0.85
F_BMtE 007,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,41,0,0,0.85
F_BMtE 008,Biomass to Electricity,Gasification,sugarcane residues,1.25E-04,6913.08 ,9.9,0,0,0.85
F_BMtE 009,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,5,0,0,0.85
F_BMtE 010,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,36,0,0,0.85
F_BMtE 011,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,7.5,0,0,0.85
F_BMtE 012,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,20.5,0,0,0.85
F_BMtE 013,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,19,0,0,0.85
F_BMtE 014,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,33,0,0,0.85
F_BMtE 015,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,8,0,0,0.85
F_BMtE 016,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,6,0,0,0.85
F_BMtE 017,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,8,0,0,0.85
F_BMtE 018,Biomass to Electricity,Cogeneration,oil palm residues,1.11E-04,6726.24 ,1.5,0,0,0.85
F_BMtE 019,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.4,0,0,0.85
F_BMtE 020,Biomass to Electricity,Cogeneration,sugarcane residues,1.11E-04,6726.24 ,18,0,0,0.85
F_BMtE 021,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.9,0,0,0.85
F_BMtE 022,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.9,0,0,0.85
F_BMtE 023,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.5,0,0,0.85
F_BMtE 024,Biomass to Electricity,Gasification,biomass,1.25E-04,6913.08 ,9.8,0,0,0.85
